Number of Branches Processed,Accuracy (%)
10000,82.12
20000,82.64
30000,82.64
40000,82.55749999999999
50000,82.57600000000001
60000,82.62833333333333
70000,82.49142857142857
80000,82.40625
90000,82.33333333333334
100000,82.402
110000,82.45090909090908
120000,82.46666666666667
130000,82.42
140000,82.42357142857144
150000,82.45
160000,82.480625
170000,82.49
180000,82.51944444444445
190000,82.51947368421054
200000,82.5255
210000,82.54238095238095
220000,82.5390909090909
230000,82.56086956521739
240000,82.57625
250000,82.5816
260000,82.59846153846155
270000,82.6
280000,82.60142857142857
290000,82.61586206896551
300000,82.61699999999999
310000,82.61774193548386
320000,82.6090625
330000,82.61757575757575
340000,82.63588235294118
350000,82.64257142857143
360000,82.64305555555555
370000,82.64324324324325
380000,82.64973684210526
390000,82.6502564102564
400000,82.6545
