Number of Branches Processed,Accuracy (%)
10000,68.22
20000,65.78500000000001
30000,65.20666666666666
40000,65.3725
50000,64.89200000000001
60000,64.29
70000,65.16999999999999
80000,64.705
90000,65.18666666666667
100000,65.196
110000,64.99000000000001
120000,65.14083333333333
130000,65.04692307692308
140000,65.27642857142857
150000,65.20066666666666
160000,65.1575
170000,65.17823529411764
180000,64.95277777777778
190000,64.99105263157895
200000,64.899
210000,65.02571428571429
220000,64.96136363636363
230000,64.92782608695651
240000,65.06541666666666
250000,65.2656
260000,65.29153846153845
270000,65.57962962962964
280000,65.57035714285713
290000,65.63034482758621
300000,65.75166666666667
