Number of Branches Processed,Accuracy (%)
10000,72.8
20000,72.235
30000,72.50999999999999
40000,72.575
50000,70.956
60000,69.455
70000,69.98714285714286
80000,70.3325
90000,70.59777777777778
100000,70.574
110000,70.71181818181819
120000,70.88333333333333
130000,71.02846153846154
140000,70.80214285714285
150000,70.61666666666667
160000,70.38624999999999
170000,70.49176470588236
180000,70.44444444444444
190000,70.38842105263157
200000,70.15050000000001
210000,70.55333333333334
220000,70.76681818181818
230000,71.21304347826087
240000,71.6025
250000,71.9224
260000,72.54961538461538
270000,72.78999999999999
280000,73.15928571428572
290000,73.38241379310345
300000,73.60733333333333
310000,73.58806451612904
320000,73.51062499999999
330000,73.68272727272728
340000,73.80323529411764
350000,73.7657142857143
360000,73.70583333333333
370000,73.71297297297296
380000,73.64894736842105
390000,73.45282051282052
400000,73.284
